sku,produto,quantidade_vendida,primeiro_nome,sobrenome,data,loja,preco_unitario,data_ambigue,faturamento,nome_completo,ltv_cliente,quantidade_compra_cliente,ultima_compra_cliente,primeira_compra_cliente,dias_compra_cliente,ranking_cliente,dia,mes_num,mes,ano,faturamento_produto,rank_produto,faturamento_produto_mes_ano,rank_produto_mes_ano,percentual,percentual_acumulado,classe_abc,ultima_compra,dias_sem_comprar,cliente_inativo,ultima_venda,dias_sem_venda,produto_inativo
HL4379,Televisão,2,Carolina,Alfradique,2018-02-25,Belo Horizonte,2500.0,False,5000.0,Carolina Alfradique,128500.0,37,2018-12-27,2018-01-06,4,298,25,2,Fev,2018,14827500.0,2,1367500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-27,4,False,2018-12-31,0,False
HL4379,Televisão,1,Danilo,Rubim,2018-02-20,Belo Horizonte,2500.0,False,2500.0,Danilo Rubim,166000.0,52,2018-11-28,2018-01-03,33,130,20,2,Fev,2018,14827500.0,2,1367500.0,2,0.14929092474287525,0.6281717084761804,A,2018-11-28,33,False,2018-12-31,0,False
HL1918,iPhone,5,Bernard,Pedrosa,2018-07-07,Belo Horizonte,5300.0,False,26500.0,Bernard Pedrosa,209500.0,64,2018-12-27,2018-01-16,4,36,7,7,Jul,2018,47562200.0,1,4038600.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-27,4,False,2018-12-31,0,False
HL1918,iPhone,5,Lucas,Lemos,2018-12-26,Belo Horizonte,5300.0,False,26500.0,Lucas Lemos,151700.0,40,2018-12-26,2018-01-26,5,185,26,12,Dez,2018,47562200.0,1,4234700.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-26,5,False,2018-12-31,0,False
HL8851,Notebook,5,Bernardo,Botelho,2018-06-08,Belo Horizonte,3500.0,False,17500.0,Bernardo Botelho,209800.0,61,2018-12-24,2018-03-01,7,35,8,6,Jun,2018,11371500.0,3,973000.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-24,7,False,2018-12-31,0,False
HL4379,Televisão,2,Raíza,Lopes,2018-04-24,Belo Horizonte,2500.0,False,5000.0,Raíza Lopes,159200.0,45,2018-12-18,2018-03-11,13,154,24,4,Abr,2018,14827500.0,2,1107500.0,2,0.14929092474287525,0.6281717084761804,A,2018-12-18,13,False,2018-12-31,0,False
HL8851,Notebook,1,Paola,Abreu,2018-08-02,Belo Horizonte,3500.0,False,3500.0,Paola Abreu,169700.0,50,2018-12-09,2018-02-19,22,119,2,8,Ago,2018,11371500.0,3,931000.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-09,22,False,2018-12-31,0,False
HL8851,Notebook,4,Marina,Delgado,2018-05-10,Belo Horizonte,3500.0,False,14000.0,Marina Delgado,111200.0,33,2018-12-20,2018-01-23,11,384,10,5,Mai,2018,11371500.0,3,934500.0,3,0.1144941325721535,0.7426658410483339,A,2018-12-20,11,False,2018-12-31,0,False
HL8851,Notebook,5,Giovana,Vilela,2018-07-10,Belo Horizonte,3500.0,False,17500.0,Giovana Vilela,140200.0,40,2018-12-15,2018-01-25,16,242,10,7,Jul,2018,11371500.0,3,1004500.0,4,0.1144941325721535,0.7426658410483339,A,2018-12-15,16,False,2018-12-31,0,False
HL1918,iPhone,5,Gabriel,Brito,2018-07-15,Belo Horizonte,5300.0,False,26500.0,Gabriel Brito,122800.0,33,2018-12-08,2018-01-03,23,321,15,7,Jul,2018,47562200.0,1,4038600.0,1,0.4788807837333051,0.4788807837333051,A,2018-12-08,23,False,2018-12-31,0,False
